ID,I_STATE,RR,AA,FFF,NNNNNNNNNN,DD,MM,YYYY,UPSZN_DATE,DATE_UPSZN,TR_DATE,RECEIPT_CREATE_FLAG,C_REQUESTFILE,C_RESPONSEFILE,I_MODE,STATE,STATEDESCRIPTION,MSGID,STATUS,STATUSDESCRIPTION,SUM_TOTAL,SUM_GRANTED,SUM_DENIED,COUNT_TOTAL,COUNT_GRANTED,COUNT_DENIED,REPORT_DATE,COPY_DATE,SERVICE, 
840,70,05,01,000,0003,01,01,2019,30.01.2019,30.01.2019,30.01.2019,1,RD05010000003012019,RT05010000003012019,finish,1,,8cf650ff-ce48-4fe3-b97e-cde76e81fc1b,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,,,recipient, 
849,70,13,07,000,0006,01,01,2019,30.01.2019,30.01.2019,30.01.2019,1,RO13070000006012019,RU13070000006012019,finish,1,,b51ea9b4-914f-4aad-a9fd-443405ffefe9,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,,,recipient, 
857,70,35,03,000,0003,01,01,2019,30.01.2019,30.01.2019,30.01.2019,1,RO35030000003012019,RU35030000003012019,finish,1,,222bb25c-c4f5-4fb1-8106-c82786f99c28,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,,,recipient, 
869,70,16,05,000,0001,01,01,2019,30.01.2019,30.01.2019,30.01.2019,1,RO16050000001012019,RU16050000001012019,finish,1,,66231e8d-ba34-4f61-b014-37a9e7133abf,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,,,recipient, 
882,41,05,19,000,0001,01,01,2019,30.01.2019,30.01.2019,,1,RO05190000001012019,RO05190000001012019,push,-1,,,ECCFailed,IOC-004:Помилка 1 підпису(невідповідність ролі),0,0,0,,,,01.01.2019,,recipient, 
890,70,26,16,000,0006,01,01,2019,30.01.2019,30.01.2019,30.01.2019,1,RO26160000006012019,RU26160000006012019,finish,1,,8121029c-3400-44eb-ba35-1131253c3d8a,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,01.01.2019,,recipient, 
901,70,18,15,000,0002,01,01,2019,30.01.2019,04.02.2019,04.02.2019,1,RO18150000002012019,RU18150000002012019,finish,1,,ece31f97-6771-4f02-9a3d-a1ed11c6cb75,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,01.01.2019,,recipient, 
913,70,07,12,000,0004,01,01,2019,30.01.2019,30.01.2019,30.01.2019,1,RO07120000004012019,RU07120000004012019,finish,1,,e0e2fc35-8865-4bc1-922a-a814d59cdc72,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,01.01.2019,,recipient, 
925,70,13,20,001,0005,01,01,2019,30.01.2019,30.01.2019,30.01.2019,1,RO13200010005012019,RU13200010005012019,finish,1,,8a805be4-031c-4b15-9508-814ad5e85a6a,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,01.01.2019,,recipient, 
932,41,61,08,001,0003,01,01,2019,30.01.2019,30.01.2019,,1,RO61080010003012019,RO61080010003012019,push,-1,,,ECCFailed,IOC-001:Помилка XSD-схеми,0,0,0,,,,01.01.2019,,recipient, 
945,70,26,16,000,0007,01,01,2019,30.01.2019,30.01.2019,30.01.2019,1,RO26160000007012019,RU26160000007012019,finish,1,,b8c0c39d-09ab-4af0-985f-b0b450f7a984,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,01.01.2019,,recipient, 
956,41,05,21,000,0003,01,01,2019,30.01.2019,30.01.2019,,1,RO05210000003012019,RO05210000003012019,push,-1,,,ECCFailed,IOC-009:Відсутність підпису фізичної особи,0,0,0,,,,01.01.2019,,recipient, 
971,70,07,64,001,0002,01,01,2019,30.01.2019,30.01.2019,30.01.2019,1,RO07640010002012019,RU07640010002012019,finish,1,,18ac3274-ed25-4e11-a7b9-0611cc869852,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,01.01.2019,,recipient, 
972,41,12,33,000,0002,01,01,2019,30.01.2019,30.01.2019,,1,RO12330000002012019,RO12330000002012019,push,-1,,,ECCFailed,IOC-001:Помилка XSD-схеми,0,0,0,,,,01.01.2019,,recipient, 
975,70,13,20,002,0002,01,01,2019,30.01.2019,30.01.2019,30.01.2019,1,RO13200020002012019,RU13200020002012019,finish,1,,425f3904-f552-41c7-8216-234b7bb88a4c,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,01.01.2019,,recipient, 
976,70,13,20,002,0003,01,01,2019,30.01.2019,30.01.2019,30.01.2019,1,RO13200020003012019,RU13200020003012019,finish,1,,bcd25bbf-b433-464d-af66-325387437065,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,01.01.2019,,recipient, 
977,70,13,20,002,0004,01,01,2019,30.01.2019,30.01.2019,30.01.2019,1,RO13200020004012019,RU13200020004012019,finish,1,,1045324f-5b6b-4502-86a0-43b039e3db2f,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,01.01.2019,,recipient, 
978,70,13,20,002,0005,01,01,2019,30.01.2019,30.01.2019,30.01.2019,1,RO13200020005012019,RU13200020005012019,finish,1,,888936b1-d777-4266-a0a8-654461a5a187,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,01.01.2019,,recipient, 
979,70,13,21,001,0002,01,01,2019,30.01.2019,30.01.2019,30.01.2019,1,RO13210010002012019,RU13210010002012019,finish,1,,7ba851b6-0201-4bc4-8cf7-9c2932b1893b,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,01.01.2019,,recipient, 
983,61,48,02,002,0001,01,02,2019,30.01.2019,30.01.2019,30.01.2019,1,RO48020020001022019,RO48020020001022019,check,-2,,743057b6-7ea6-4dc9-bdc7-16076d2f1bec,EBKFailed,ESB126100: SMM-003 Дата та час формування реєстру більше поточної дати,0,0,0,,,,01.02.2019,,recipient, 
984,61,48,04,004,0001,01,02,2019,30.01.2019,30.01.2019,30.01.2019,1,RO48040040001022019,RO48040040001022019,check,-2,,0ce06ffe-b149-4569-9ff1-d3e11884f95c,EBKFailed,ESB126100: SMM-003 Дата та час формування реєстру більше поточної дати,0,0,0,,,,01.02.2019,,recipient, 
985,41,61,05,000,0002,01,01,2019,30.01.2019,30.01.2019,,1,RO61050000002012019,RO61050000002012019,push,-1,,,ECCFailed,IOC-001:Помилка XSD-схеми,0,0,0,,,,01.01.2019,,recipient, 
986,41,61,05,000,0002,01,01,2019,30.01.2019,30.01.2019,,1,RO61050000002012019,RO61050000002012019,push,-1,,,ECCFailed,IOC-002:Помилка 1 підпису(валідність),0,0,0,,,,01.01.2019,,recipient, 
716,70,32,52,001,0002,01,01,2019,29.01.2019,29.01.2019,29.01.2019,1,RO32520010002012019,RU32520010002012019,finish,1,,2f0e3a4e-44e7-4eed-9574-471b3e79b1a3,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,,,recipient, 
730,70,14,23,000,0007,01,01,2019,29.01.2019,29.01.2019,29.01.2019,1,RO14230000007012019,RU14230000007012019,finish,1,,f7ca06da-6561-428c-b255-4ae7cdb62e9e,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,,,recipient, 
738,41,51,19,000,0001,01,01,2019,29.01.2019,29.01.2019,,1,RO51190000001012019,RO51190000001012019,push,-1,,,ECCFailed,IOC-006:Помилка - відсутність фуйлу підпису,0,0,0,,,,,,recipient, 
746,70,68,21,003,0006,01,01,2019,29.01.2019,29.01.2019,29.01.2019,1,RO68210030006012019,RU68210030006012019,finish,1,,9d763210-3ce9-4f62-9e7b-2d17c9f99d76,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,,,recipient, 
