I_REGION,ID,C_NAME,LATITUDE,LONGITUDE
71,7125,ШПОЛЯНСЬКИЙ Р-Н ЧЕРКАСЬКА ОБЛ.,49013,31.39152
71,7126,М.ВАТУТІНЕ ЧЕРКАСЬКА ОБЛ.,49.01224,31.04601
71,7127,М.ЗОЛОТОНОША ЧЕРКАСЬКА ОБЛ.,49.66828,32.04345
74,7402,РІПКИНСЬКИЙ Р-Н ЧЕРНІГІВСЬКА ОБЛ.,51.79902,31.08987
74,7403,КОРЮКІВСЬКИЙ Р-Н ЧЕРНІГІВСЬКА ОБЛ.,51774,32.25809
74,7404,ГОРОДНЯНСЬКИЙ Р-Н ЧЕРНІГІВСЬКА ОБЛ.,51.89343,31.60425
74,7405,НОВГОРОД-СІВЕРСЬКИЙ Р-Н ЧЕРНІГІВ.ОБЛ.,52.00995,33.26602
74,7406,БАХМАЦЬКИЙ Р-Н ЧЕРНІГІВСЬКА ОБЛ.,51.14793,32.89391
74,7407,БОРЗНЯНСЬКИЙ Р-Н ЧЕРНІГІВСЬКА ОБЛ.,51.25499,32.43069
74,7408,ЩОРСЬКИЙ Р-Н ЧЕРНІГІВСЬКА ОБЛ.,51.81092,31.95217
74,7409,НОСІВСЬКИЙ Р-Н ЧЕРНІГІВСЬКА ОБЛ.,50.93639,31.5662
74,7410,БОБРОВИЦЬКИЙ Р-Н ЧЕРНІГІВСЬКА ОБЛ.,50.74155,31.38365
74,7411,КОЗЕЛЕЦЬКИЙ Р-Н ЧЕРНІГІВСЬКА ОБЛ.,50.91245,31.10911
74,7412,НІЖИНСЬКИЙ Р-Н ЧЕРНІГІВСЬКА ОБЛ.,51.04615,31.88046
74,7413,ПРИЛУЦЬКИЙ Р-Н ЧЕРНІГІВСЬКА ОБЛ.,50.57153,32.16934
74,7414,ІЧНЯНСЬКИЙ Р-Н ЧЕРНІГІВСЬКА ОБЛ.,50.85727,32.39978
74,7415,СРІБНЯНСЬКИЙ Р-Н ЧЕРНІГІВСЬКА ОБЛ.,50.66218,32.91636
74,7416,КОРОПСЬКИЙ Р-Н ЧЕРНІГІВСЬКА ОБЛ.,51.56938,32.95858
74,7417,КУЛИКІВСЬКИЙ Р-Н ЧЕРНІГІВСЬКА ОБЛ.,51.37373,31.64584
74,7418,МЕНСЬКИЙ Р-Н ЧЕРНІГІВСЬКА ОБЛ.,51.52151,32.21439
